Filename,T,P,HOA,Metal node,M%,UCV,D,ASA,AVAF,Adsorption
DB0-m3_o1_o24_f0_nbo.sym.171,338.0,0.26,4.762762,Zn,3.8,5226.74,0.623455,1104.3,0.33694,0.307246
DB0-m2_o13_o22_f0_pcu.sym.14,338.0,3.2,6.048094,Cu,2.74,1578.15,0.820312,303.678,0.1496,4.771596
DB0-m15_o4_o30_xbe,313.0,16.0,6.347324,Co,4.35,2335.8,0.776621,450.464,0.18286,15.158382
DB5-hypotheticalMOF_5061962_1_0_2_18_1_1,338.0,0.26,3.873438,Cu,7.14,846.892,0.916142,191.948,0.15914,0.158654
DB0-m3_o6_o6_f0_pcu.sym.22,338.0,0.26,5.591562,Zn,1.22,7829.59,0.656611,1332.95,0.20322,0.581296
DB0-m3_o1520_o23_f0_fsc.sym.1,338.0,0.26,5.220453,Zn,3.12,1559.78,0.735953,308.115,0.21152,0.606656
DB0-m3_o19_o29_f0_nbo.sym.67,313.0,16.0,3.330722,Zn,2.91,31397.6,0.268445,5011.93,0.63458,21.392776
DB0-m3_o9_o26_f0_pcu.sym.45,313.0,0.4,4.298333,Zn,1.79,2982.34,0.621743,492.752,0.31702,0.487013
DB0-m29_o88_o1490_f0_pts.sym.14,298.0,1.0,5.696239,Fe,2.99,2333.65,0.631248,516.001,0.30896,2.719103
DB6-cuf_5426,313.0,16.0,5.363944,Cu,2.08,3179.64,0.53366,562.818,0.3771,23.372362
DB0-m29_o99_o143_f0_pts.sym.12,313.0,16.0,5.438617,Fe,2.53,2974.59,0.527113,568.478,0.37068,23.36345
DB0-m2_o23_o25_f0_nbo.sym.180,313.0,16.0,2.578276,Cu,2.94,15966.6,0.218283,2117.05,0.68904,15.105916
DB0-m29_o84_o44_f0_pts.sym.67,298.0,1.0,5.541134,Fe,2.82,2058.65,0.72933,401.923,0.24116,3.526865
DB0-m3_o16_o26_f0_pcu.sym.42,313.0,16.0,6.528969,Zn,1.89,2980.5,0.584821,566.031,0.2841,21.250276
DB5-hypotheticalMOF_1000455_1_1_3_25_25_0,338.0,0.26,7.185884,V,3.33,2076.23,1.05948,234.4,0.05128,2.288859
DB0-m3_o24_o105_f0_fsc.sym.36,313.0,0.4,8.134351,Zn,2.08,1568.57,1.02646,189.893,0.05354,4.336461
DB0-m3_o2_o11_f0_nbo.sym.44,313.0,16.0,3.49154,Zn,3.66,20305.2,0.296635,3157.42,0.61134,19.082299
DB0-m2_o2_o9_f0_nbo.sym.130,338.0,3.2,4.18121,Cu,3.26,19482.6,0.345151,3188.12,0.56264,2.363663
DB0-m29_o88_o149_f0_pts.sym.40,313.0,0.4,4.792565,Fe,2.86,2116.85,0.673972,478.161,0.23948,1.386268
DB0-m3_o156_o510_f0_fsc.sym.58,313.0,0.4,6.180944,Zn,2.38,1953.25,0.858229,340.135,0.1302,4.079536
DB0-m29_o88_o111_f0_pts.sym.21,298.0,0.1,5.524775,Fe,2.22,2714.82,0.618614,669.653,0.22658,0.566186
DB6-cuf_5876,313.0,0.4,6.234412,Cu,2.38,1767.76,0.807612,317.165,0.14658,2.855774
DB1-Cu2O8N2-DPAC_A-fum_A_No138,313.0,0.4,3.795407,Cu,2.82,7176.12,0.468259,1370.88,0.46316,0.498482
DB0-m3_o450_o13_f0_fsc.sym.17,338.0,3.2,6.078454,Zn,4.0,1220.3,0.93501,243.891,0.16018,4.847333
DB12-CUWNIT_clean,298.0,1.0,6.622184,Co,4.14,10943.6,1.01279,1676.69,0.08066,3.531135
DB0-m3_o7_o20_f0_pcu.sym.75,313.0,16.0,4.692223,Zn,1.92,4297.68,0.508191,806.801,0.4013,15.40499
DB0-m3_o153_o21_f0_fsc.sym.8,338.0,3.2,5.627292,Zn,4.08,1343.25,0.772819,259.78,0.25008,6.223488
DB0-m2_o8_o8_f0_pcu.sym.84,313.0,16.0,4.39511,Cu,2.5,8896.29,0.786457,1770.66,0.4184,9.414935
DB0-m3_o2_o12_f0_pcu.sym.40,313.0,0.4,5.014237,Zn,2.04,2335.35,0.722061,477.304,0.15866,0.99124
DB0-m29_o81_o90_f0_pts.sym.58,298.0,0.1,5.31403,Fe,2.53,2698.39,0.60692,490.495,0.34156,0.309549
DB1-Cu2O8-pcn6_A-TDPAT_No478,338.0,0.26,3.256413,Cu,2.86,33698.5,0.391088,5003.94,0.6015,0.197631
DB0-m2_o15_o28_f0_pcu.sym.57,338.0,0.26,5.914397,Cu,1.64,2437.05,0.81227,455.809,0.09112,1.126145
DB0-m3_o17_o143_f0_fsc.sym.10,313.0,0.4,6.524555,Zn,2.56,1388.31,0.949015,164.076,0.0981,3.38605
DB0-m2_o27_o27_f0_pcu.sym.28,338.0,3.2,4.018132,Cu,1.32,13270.3,0.377473,2522.16,0.46576,2.704032
DB0-m3_o146_o14_f0_fsc.sym.107,313.0,16.0,7.576525,Zn,2.2,1666.4,0.897376,212.141,0.03104,10.733043
DB0-m29_o88_o47_f0_pts.sym.110,338.0,3.2,5.464825,Fe,2.78,1991.4,0.714785,461.273,0.20168,6.287904
DB0-m29_o95_o151_f0_pts.sym.32,338.0,3.2,5.746513,Fe,1.56,4172.11,0.524477,1003.54,0.3043,6.529342
DB0-m2_o7_o21_f0_pcu.sym.26,338.0,3.2,3.543834,Cu,3.03,3998.42,0.435741,743.383,0.5229,1.577124
DB0-m2_o5_o9_f0_nbo.sym.33,313.0,16.0,6.447299,Cu,3.66,7296.43,0.862281,1067.99,0.10844,9.830108
DB1-Cu2N8-AZO_B-irmof20_B_No42,298.0,0.1,5.195687,Cu,3.51,1825.68,0.809032,289.051,0.30982,0.324358
DB5-hypotheticalMOF_5050671_0_0_1_23_3_7,338.0,3.2,4.934699,Zn,2.22,1758.85,0.760506,303.116,0.17436,3.237701
DB5-hypotheticalMOF_5057170_1_0_1_29_10_0,298.0,0.1,4.147792,Zn,2.27,2895.44,0.547976,670.581,0.31064,0.34818
DB0-m3_o430_o22_f0_fsc.sym.8,338.0,0.26,5.678473,Zn,2.86,1146.27,1.02177,163.191,0.09198,0.654992
DB0-m29_o99_o1500_f0_pts.sym.65,313.0,0.4,3.945325,Fe,2.38,3358.31,0.481989,639.87,0.40794,0.565911
DB12-VEDFIV_clean,313.0,0.4,6.719947,Co,3.51,3879.22,1.06894,455.006,0.04204,3.485576
DB0-m2_o39_o40_f0_fof.sym.31,313.0,16.0,6.830829,Cu,3.8,7703.94,1.0295,1262.02,0.14624,10.729366
DB0-m2_o2_o14_f0_nbo.sym.81,313.0,16.0,4.452256,Cu,2.36,19521.0,0.489276,3711.83,0.4041,18.634859
DB6-cuf_5768,298.0,1.0,5.185901,Cu,2.38,2670.19,0.568245,493.778,0.32612,2.881766
DB0-m3_o24_o42_f0_fsc.sym.3,298.0,1.0,9.89234,Zn,3.03,869.643,1.36587,82.2478,0.04312,1.463654
DB1-MIL47V-ADC_B-BDC_B_No12,313.0,16.0,7.715268,V,4.55,1526.03,1.1364,213.052,0.12162,8.780768
DB5-hypotheticalMOF_5012427_1_0_0_20_13_7,298.0,1.0,4.290455,Zn,3.39,4010.16,0.468953,845.418,0.42188,2.252698
DB1-Cu2O8-ADC_A-irmof6_A_No496,298.0,0.1,3.997914,Cu,3.77,3781.22,0.684552,834.565,0.2696,0.175165
DB0-m2_o11_o25_f0_pcu.sym.130,298.0,1.0,4.75419,Cu,3.23,1675.51,0.687372,396.963,0.17234,3.262147
DB0-m3_o11_o28_f0_pcu.sym.10,338.0,3.2,5.063524,Zn,2.56,2585.9,0.553136,686.374,0.28672,4.928473
DB0-m2_o9_o11_f0_pcu.sym.56,338.0,3.2,7.230825,Cu,2.86,1153.74,1.05592,95.4805,0.02532,2.488746
DB0-m3_o25_o46_f0_fsc.sym.69,313.0,16.0,8.322659,Zn,4.17,1051.48,1.00305,141.558,0.04368,10.325005
DB5-hypotheticalMOF_36660_1_0_2_16_24_6,338.0,0.26,4.023227,Cu,2.17,3886.57,0.477615,727.835,0.42458,0.27894
DB0-m3_o430_o22_f0_fsc.sym.17,338.0,3.2,6.952873,Zn,3.23,1146.0,1.1696,165.833,0.067,3.270603
DB0-m3_o160_o151_f0_fsc.sym.24,338.0,3.2,4.938157,Zn,2.44,2216.5,0.623662,423.997,0.2801,4.419752
DB0-m3_o8_o8_f0_pcu.sym.67,313.0,16.0,4.148171,Zn,1.72,9311.06,0.36373,1949.96,0.45182,24.78448
DB0-m29_o84_o151_f0_pts.sym.41,338.0,3.2,4.734256,Fe,2.11,2726.27,0.613014,581.049,0.25318,5.637322
DB1-Al2O6-ADC_B-BDC_B_No158,298.0,1.0,7.150299,Al,5.26,1419.85,1.05768,207.98,0.12246,5.055664
DB0-m2_o24_o92_f0_fsc,338.0,3.2,6.428232,Cu,2.33,1959.25,0.776196,420.191,0.16808,6.904542
DB0-m2_o6_o19_f0_pcu.sym.17,338.0,3.2,3.388935,Cu,3.7,2775.33,0.468746,628.093,0.4019,1.701948
DB0-m2_o6_o23_f0_nbo.sym.11,338.0,0.26,2.225717,Cu,4.41,16396.9,0.216125,2096.27,0.72066,0.129449
DB0-m3_o4_o27_f0_nbo.sym.131,313.0,0.4,4.219178,Zn,3.03,18518.5,0.361889,3197.96,0.53298,0.613621
DB0-m3_o2_o19_f0_nbo.sym.67,313.0,0.4,3.263795,Zn,4.62,21987.5,0.397622,3151.62,0.6418,0.283895
DB0-m3_o3_o22_f0_pcu.sym.56,298.0,0.1,5.93044,Zn,1.2,3837.2,0.680284,665.746,0.19174,0.600283
DB0-m3_o22_o24_f0_nbo.sym.147,313.0,0.4,4.483355,Zn,3.61,4981.16,0.540578,914.997,0.39788,0.738407
DB0-m3_o9_o18_f0_pcu.sym.11,338.0,0.26,5.411746,Zn,2.0,2162.97,0.882447,333.588,0.16376,0.490687
DB0-m3_o160_o153_f0_fsc.sym.28,298.0,1.0,4.53052,Zn,2.99,1486.38,0.860567,286.454,0.18158,4.104765
DB5-hypotheticalMOF_28090_0_0_2_2_26_1,338.0,0.26,3.65475,Cu,2.63,3089.98,0.510331,549.831,0.40118,0.181034
DB5-hypotheticalMOF_496_0_0_0_26_17_12,338.0,0.26,4.117205,Zn,2.3,6239.69,0.386687,1159.61,0.47486,0.331467
DB0-m2_o13_o23_f0_pcu.sym.123,338.0,3.2,5.209773,Cu,2.63,2333.21,0.569139,527.656,0.29702,3.928748
DB0-m3_o6_o19_f0_nbo.sym.52,313.0,16.0,4.294271,Zn,3.23,24800.4,0.30342,3923.82,0.58574,17.358838
DB0-m3_o7_o24_f0_nbo.sym.24,313.0,16.0,3.479932,Zn,2.63,27143.3,0.277757,3911.33,0.62754,16.341859
DB0-m3_o43_o6_f0_fsc.sym.38,313.0,0.4,7.519182,Zn,2.08,1856.35,0.928135,210.644,0.03292,3.564779
DB0-m2_o25_o27_f0_pcu.sym.22,313.0,0.4,3.146818,Cu,2.22,4435.05,0.347392,819.21,0.52024,0.611117
DB0-m2_o13_o18_f0_pcu.sym.68,338.0,3.2,5.297251,Cu,2.63,2290.04,0.606002,421.997,0.29206,5.338548
DB1-Al2O6-ADC_B-fum_B_No53,298.0,0.1,11.455285,Al,6.67,922.606,1.36818,93.8651,0.03794,4.857253
